tag,tray,tray.rep,treatment,block,family,population,uline,dateplanted,shoot,root,survival,daysharvest,leaf_atharvest,height_atharvest,branches_atharvest,datedeathmiss,daysdeath,noddatamiss,totalwhite,totalred,totalnod,contaminated_nfixing_nodules
952,33,26,Mix,3,RBE38,RBE,86,18-Oct-11,28,9.8,1,99,11,3NA7,1,0,NA,0,45,91,136,NA
620,22,6,Mix,2,KA5,KA,64,17-Oct-11,29.9,9.9,1,96,10,6NA2,1,0,NA,0,27,122,149,NA
616,22,2,Mix,2,F27,F2,23,17-Oct-11,9.4,10,1,96,9,5NA7,1,0,NA,0,83,162,245,NA
1123,39,9,Mix,4,RBE51,RBE,91,18-Oct-11,22,10,1,99,9,5NA8,1,0,NA,0,47,67,114,NA
1855,63,31,R,5,RBE40,RBE,87,19-Oct-11,29,10,1,101,9,4NA9,1,0,NA,0,4,65,69,NA
880,31,14,Mix,3,KA5,KA,64,18-Oct-11,31,10,1,98,10,5NA2,1,0,NA,0,21,98,119,NA
298,11,14,R,1,HTD26,HTD,50,17-Oct-11,32.9,10,1,95,9,6NA8,1,0,NA,0,4,31,35,NA
2044,71,4,R,6,WR45,WR,100,19-Oct-11,36.5,10,1,102,8,5NA1,1,0,NA,0,35,115,150,NA
595,21,13,R,2,F228,F2,32,17-Oct-11,42.5,10,1,96,9,8NA8,1,0,NA,0,35,106,141,NA
187,7,13,Mix,1,RBE25,RBE,82,17-Oct-11,23.2318,10.0026,0,NA,8,NA,NA,0,74,0,5,21,26,NA
723,25,31,Mix,3,F221,F2,28,18-Oct-11,20,10.1,1,97,9,4NA4,1,0,NA,0,52,26,78,NA
2479,85,9,Mix,7,KA5,KA,64,20-Oct-11,28.4,10.1,1,102,11,6NA2,1,0,NA,0,5,81,86,NA
211,8,5,R,1,AC3,AC,3,17-Oct-11,24.2,10.2,1,94,8,7NA2,1,0,NA,0,15,40,55,NA
1570,53,30,Mix,5,HTR15,HTR,58,19-Oct-11,27,10.2,1,100,11,4NA3,1,0,NA,0,70,97,167,NA
1519,52,11,Mix,4,FOR26,FOR,38,18-Oct-11,37,10.2,1,101,11,4NA5,1,0,NA,0,30,100,130,NA
478,17,6,Mix,2,KA9,KA,66,17-Oct-11,23.8,10.3,1,96,14,4NA9,1,0,NA,0,39,53,92,NA
2637,91,15,R,8,HTD9,HTD,45,21-Oct-11,31,10.3,1,102,9,4NA5,1,0,NA,0,151,115,266,NA
510,18,6,R,2,WR31,WR,97,17-Oct-11,37,10.3,1,96,9,6NA1,1,0,NA,0,19,65,84,NA
1911,65,27,R,6,KA9,KA,66,19-Oct-11,41,10.3,1,101,14,5,1,0,NA,0,17,55,72,NA
2472,85,2,Mix,7,RBE45,RBE,89,20-Oct-11,22.5,10.4,1,102,9,4NA9,1,0,NA,0,37,81,118,NA
180,7,6,Mix,1,HTR1,HTR,53,17-Oct-11,25.1,10.4,1,94,9,5NA3,1,0,NA,0,106,83,189,NA
412,15,4,Mix,2,F224,F2,29,17-Oct-11,33.2,10.4,1,95,10,5NA5,1,0,NA,0,27,48,75,NA
515,18,11,R,2,AC4,AC,4,17-Oct-11,35.1,10.4,1,96,9,6NA7,1,0,NA,0,17,85,102,NA
2641,91,19,R,8,F219,F2,27,21-Oct-11,41.5,10.5,1,102,15,4NA4,1,0,NA,0,51,185,236,NA
2032,70,24,R,6,FOR26,FOR,38,19-Oct-11,44.2,10.52,1,102,11,7NA4,1,0,NA,0,28,95,123,NA
2349,80,21,Mix,7,RBE40,RBE,87,20-Oct-11,28.4,10.6,1,101,9,3NA5,1,0,NA,0,74,115,189,NA
419,15,11,Mix,2,RBE20,RBE,78,17-Oct-11,30.7,10.6,1,95,11,4NA7,1,0,NA,0,38,50,88,NA
2794,96,30,R,8,HTD2,HTD,43,21-Oct-11,35.4,10.6,1,102,8,5NA2,1,0,NA,0,11,121,132,NA
1402,48,4,Mix,4,WT34,WT,109,18-Oct-11,41.2,10.6,1,100,9,5NA9,1,0,NA,0,74,103,177,NA
1838,63,14,R,5,FOR39,FOR,41,19-Oct-11,40,10.7,1,101,12,5NA1,1,0,NA,0,10,37,47,NA
2388,81,28,R,7,F219,F2,27,20-Oct-11,49.2,10.7,1,102,20,4NA1,1,0,NA,0,48,205,253,NA
1680,57,30,Mix,5,HTD26,HTD,50,19-Oct-11,62,10.7,1,100,21,4NA6,1,0,NA,0,15,67,82,NA
1513,52,5,Mix,4,F219,F2,27,18-Oct-11,24,10.8,1,101,11,4NA5,1,0,NA,0,87,128,215,NA
2629,91,7,R,8,AC14,AC,9,21-Oct-11,33.6,10.8,1,102,10,7NA7,1,0,NA,0,124,171,295,NA
872,31,6,Mix,3,WT18,WT,104,18-Oct-11,21.2,10.9,1,98,9,2NA1,1,0,NA,0,68,34,102,NA
420,15,12,Mix,2,HTR19,HTR,59,17-Oct-11,26.8,10.9,1,95,10,5NA2,1,0,NA,0,87,90,177,NA
790,28,2,Mix,3,DE15,DE,17,18-Oct-11,24.5,11,1,97,11,5,1,0,NA,0,52,44,96,NA
1573,54,1,R,5,RBE20,RBE,78,19-Oct-11,25,11,1,100,8,3NA1,1,0,NA,0,10,44,54,NA
477,17,5,Mix,2,KA7,KA,65,17-Oct-11,23.3,11.1,1,96,11,4NA5,1,0,NA,0,122,65,187,NA
1046,36,24,Mix,3,AC21,AC,12,18-Oct-11,24.5258,11.1924,0,425,NA,NA,NA,0,50,0,NA,NA,NA,NA
854,30,2,R,3,WR48,WR,101,18-Oct-11,31.3,11.2,1,98,8,4NA5,1,0,NA,0,20,151,171,NA
939,33,13,Mix,3,F217,F2,25,18-Oct-11,16,11.3,1,99,10,4NA4,1,0,NA,0,59,67,126,NA
1662,57,12,Mix,5,WR8,WR,93,19-Oct-11,36.2,11.3,1,168,9,4NA7,1,0,NA,1,NA,NA,NA,NA
2342,80,14,Mix,7,AC4,AC,4,20-Oct-11,36.5,11.3,1,101,3,4NA5,1,0,46,0,79,131,210,NA
685,24,25,Mix,3,DU28,DU,22,18-Oct-11,47.5,11.3,0,NA,NA,NA,NA,0,NA,0,10,56,66,NA
2640,91,18,R,8,WR40a,WR,102,21-Oct-11,36.7,11.4,1,102,11,6NA4,1,0,NA,0,131,28,159,NA
613,21,31,R,2,KA5,KA,64,17-Oct-11,38.8,11.4,1,96,9,6NA6,1,0,NA,0,18,85,103,NA
1854,63,30,R,5,KA7,KA,65,19-Oct-11,35,11.5,1,101,11,5,1,0,NA,0,61,133,194,NA
407,14,31,R,2,WR40a,WR,102,17-Oct-11,35.2,11.5,1,95,9,7NA1,1,0,NA,0,5,23,28,NA
226,9,6,R,1,WT11,WT,103,17-Oct-11,36.8,11.5,1,94,9,8NA4,1,0,NA,0,19,67,86,NA
1580,54,8,R,5,RBE23,RBE,80,19-Oct-11,41,11.5,1,100,10,4,1,0,NA,0,71,129,200,NA
482,17,10,Mix,2,KA21,KA,70,17-Oct-11,30.1,11.6,1,96,8,6NA4,1,0,NA,0,39,52,91,NA
389,14,13,R,2,KA1,KA,63,17-Oct-11,32.6,11.6,1,95,8,5NA2,1,0,NA,0,6,35,41,NA
1585,54,13,R,5,HTD20,HTD,48,19-Oct-11,35,11.6,1,100,9,4NA7,1,0,NA,0,22,94,116,NA
2634,91,12,R,8,KA27,KA,72,21-Oct-11,39.6,11.6,1,102,10,7NA6,1,0,NA,0,71,165,236,NA
2096,72,24,Mix,6,HTR30,HTR,61,19-Oct-11,22.6,11.7,1,102,10,3NA8,1,0,NA,0,167,113,280,NA
2715,93,29,Mix,8,F217,F2,25,21-Oct-11,29.9,11.7,1,102,9,5NA4,1,0,NA,0,42,126,168,NA
1180,41,2,Mix,4,AC3,AC,3,18-Oct-11,23.9,11.9,1,99,10,5,1,0,NA,0,43,102,145,NA
563,20,13,R,2,WR22,WR,96,17-Oct-11,32.9,12,1,96,12,6NA1,1,0,NA,0,23,104,127,NA
2646,91,24,R,8,RBE27,RBE,83,21-Oct-11,58.8,12,1,102,11,8NA1,1,0,NA,0,54,190,244,NA
351,13,7,Mix,2,KA17,KA,69,17-Oct-11,NA,12,1,95,10,6NA1,1,1,NA,0,36,55,91,NA
1382,47,16,R,4,DE2,DE,13,18-Oct-11,41,12.1,1,100,10,6NA4,1,0,NA,0,14,66,80,NA
2189,75,21,Mix,6,WR42,WR,99,19-Oct-11,44.3,12.1,1,102,12,6NA4,1,0,NA,0,46,105,151,NA
746,26,22,R,3,RBE40,RBE,87,18-Oct-11,31.7,12.2,1,97,8,6NA4,1,0,NA,0,15,77,92,NA
417,15,9,Mix,2,AC20,AC,11,17-Oct-11,32,12.2,1,95,9,6NA6,1,0,NA,0,46,102,148,NA
387,14,11,R,2,RBE27,RBE,83,17-Oct-11,40.3,12.2,1,95,11,8NA1,1,0,NA,0,15,87,102,NA
2772,96,8,R,8,WR22,WR,96,21-Oct-11,29.8,12.3,1,102,8,6NA2,1,0,NA,0,23,168,191,NA
780,27,24,R,3,F227,F2,31,18-Oct-11,30.6,12.3,1,97,10,6NA4,1,0,NA,0,69,250,319,NA
2178,75,10,Mix,6,WR10,WR,94,19-Oct-11,39.7,12.3,1,102,9,8,1,0,NA,0,57,90,147,NA
2481,85,11,Mix,7,DE15,DE,17,20-Oct-11,42.5,12.3,1,102,11,6NA4,1,0,NA,0,42,104,146,NA
1380,47,14,R,4,HTD25,HTD,49,18-Oct-11,36.1,12.4,1,100,12,4NA8,1,0,NA,0,8,77,85,NA
1977,69,1,Mix,6,RBE15,RBE,76,19-Oct-11,50,12.4,1,101,11,7NA6,1,0,NA,1,NA,NA,NA,NA
2714,93,28,Mix,8,FOR19,FOR,37,21-Oct-11,29.4,12.55,1,146,9,2NA9,1,0,NA,0,52,146,198,NA
871,31,5,Mix,3,RBE24,RBE,81,18-Oct-11,18.3,12.6,1,98,9,5,1,0,NA,0,99,194,293,NA
627,22,13,Mix,2,HTD19,HTD,47,17-Oct-11,22.5,12.6,1,96,7,6NA6,1,0,NA,0,46,84,130,NA
816,28,28,Mix,3,WT36,WT,110,18-Oct-11,27.4,12.6,1,97,10,5NA8,1,0,NA,0,131,71,202,NA
1538,52,30,Mix,4,RBE43,RBE,88,18-Oct-11,33,12.7,1,101,10,4NA2,1,0,NA,0,53,109,162,NA
894,31,28,Mix,3,HTD28,HTD,51,18-Oct-11,28,12.8,1,98,8,5NA2,1,0,NA,0,8,76,84,NA
1559,53,19,Mix,5,HTR30,HTR,61,19-Oct-11,37,12.8,1,100,11,3NA5,1,0,NA,0,59,97,156,NA
1442,49,12,R,4,WR48,WR,101,18-Oct-11,57.5,12.8,1,100,9,8,1,0,NA,0,17,70,87,NA
957,33,31,Mix,3,KA16,KA,68,18-Oct-11,24,12.9,1,99,10,3NA9,1,0,NA,0,12,44,56,NA
90,3,26,Mix,1,HTD28,HTD,51,17-Oct-11,31,12.9,1,94,10,7NA5,1,0,NA,0,9,54,63,NA
2381,81,21,R,7,HTD20,HTD,48,20-Oct-11,43.7,12.9,1,102,11,5,1,0,NA,0,63,141,204,NA
2450,83,26,Mix,7,AC20,AC,11,20-Oct-11,46.6,12.9,1,102,10,5NA5,1,0,NA,0,101,169,270,NA
2435,83,11,Mix,7,KA16,KA,68,20-Oct-11,44.9,12.98,1,147,10,3NA3,1,0,NA,0,49,138,187,NA
1547,53,7,Mix,5,WR45,WR,100,19-Oct-11,35,13,1,100,11,6,1,0,NA,0,74,48,122,NA
786,27,30,R,3,HTD15,HTD,46,18-Oct-11,45.8,13,1,97,12,6NA9,1,0,NA,0,48,140,188,NA
480,17,8,Mix,2,AC4,AC,4,17-Oct-11,27.3,13.1,1,96,8,5,1,0,NA,0,102,98,200,NA
1345,46,11,Mix,4,F227,F2,31,18-Oct-11,35.7,13.1,1,100,10,6NA9,1,0,NA,0,34,69,103,NA
2580,89,4,R,8,WR10,WR,94,21-Oct-11,46.8,13.1,1,102,NA,5NA5,1,0,NA,0,2,86,88,NA
1544,53,4,Mix,5,WR31,WR,97,19-Oct-11,49,13.1,1,100,10,4NA6,1,0,NA,0,82,74,156,NA
2856,98,28,Mix,8,DE11,DE,15,21-Oct-11,36.4,13.2,1,102,10,5NA2,1,0,NA,0,62,87,149,NA
587,21,5,R,2,FOR43,FOR,42,17-Oct-11,40.7,13.2,1,96,8,7NA3,1,0,NA,0,14,116,130,NA
2623,91,1,R,8,KA16,KA,68,21-Oct-11,41.5,13.2,1,102,9,4,1,0,NA,0,59,161,220,NA
702,25,10,Mix,3,WR40a,WR,102,18-Oct-11,42,13.2,1,97,10,7,1,0,NA,0,75,99,174,NA
2371,81,11,R,7,HTR14,HTR,57,20-Oct-11,47.5,13.2,1,102,14,5NA3,1,0,NA,0,12,128,140,NA
2464,84,8,R,7,RBE34,RBE,85,20-Oct-11,64.9,13.2,1,102,11,6,1,0,NA,0,21,156,177,NA
2346,80,18,Mix,7,KA9,KA,66,20-Oct-11,21.5011,13.23,1,81,11,NA,NA,0,NA,0,103,30,133,NA
429,15,21,Mix,2,DE7,DE,14,17-Oct-11,27.2,13.28,1,150,8,2NA6,1,0,NA,0,38,100,138,NA
873,31,7,Mix,3,RBE48,RBE,90,18-Oct-11,37.9,13.3,1,98,12,5NA4,1,0,NA,0,31,137,168,NA
2635,91,13,R,8,DU17,DU,20,21-Oct-11,49.9,13.3,1,102,10,7NA3,1,0,NA,0,28,221,249,NA
1518,52,10,Mix,4,F228,F2,32,18-Oct-11,30,13.5,1,101,9,5,1,0,NA,0,82,114,196,NA
1856,63,32,R,5,WT32,WT,108,19-Oct-11,34,13.5,1,101,9,4NA8,1,0,NA,0,9,71,80,NA
1537,52,29,Mix,4,RBE4,RBE,74,18-Oct-11,43,13.6,1,101,10,6NA5,1,0,NA,0,38,82,120,NA
1765,60,19,R,5,AC13,AC,8,19-Oct-11,46,13.7,1,100,12,7,1,0,NA,0,23,86,109,NA
1813,62,3,Mix,5,F227,F2,31,19-Oct-11,46,13.7,1,101,13,5NA7,1,0,NA,0,71,133,204,NA
1365,46,31,Mix,4,RBE15,RBE,76,18-Oct-11,55,13.7,1,100,10,7NA3,1,0,NA,0,22,54,76,NA
2364,81,4,R,7,F228,F2,32,20-Oct-11,70.7,13.7,1,102,15,7NA8,1,0,NA,0,10,135,145,NA
745,26,21,R,3,AC14,AC,9,18-Oct-11,35,13.8,1,97,7,7NA3,1,0,NA,0,39,150,189,NA
772,27,16,R,3,FOR11,FOR,34,18-Oct-11,36,13.8,1,97,11,6,1,0,NA,0,178,200,378,NA
752,26,28,R,3,DU28,DU,22,18-Oct-11,41.4,13.8,1,97,13,7NA3,1,0,NA,0,127,145,272,NA
2625,91,3,R,8,DU3,DU,18,21-Oct-11,45.5,13.8,1,102,11,6NA6,1,0,NA,0,47,146,193,NA
870,31,4,Mix,3,F228,F2,32,18-Oct-11,27,14,1,162,13,3NA1,1,0,NA,0,58,131,189,NA
1169,40,23,Mix,4,F218,F2,26,18-Oct-11,33,14,1,99,10,7NA3,1,0,NA,0,32,76,108,NA
143,5,15,Mix,1,RBE34,RBE,85,17-Oct-11,36,14,1,94,11,7NA2,1,0,NA,0,32,70,102,NA
2297,79,1,Mix,7,FOR39,FOR,41,20-Oct-11,42.2,14,1,101,8,6NA3,1,0,NA,0,76,134,210,NA
2412,82,20,R,7,DE7,DE,14,20-Oct-11,44,14,1,102,13,3NA9,1,0,NA,0,43,239,282,NA
234,9,14,R,1,FOR11,FOR,34,17-Oct-11,45.1,14,1,94,9,7NA5,1,0,NA,0,17,136,153,NA
75,3,11,Mix,1,WR40a,WR,102,17-Oct-11,39,14.1,1,94,9,7NA6,1,0,NA,0,57,67,124,NA
1552,53,12,Mix,5,F228,F2,32,19-Oct-11,45,14.1,1,100,11,6NA6,1,0,NA,0,73,74,147,NA
309,11,25,R,1,WR8,WR,93,17-Oct-11,52.8,14.1,1,95,11,9,1,0,NA,0,14,69,83,NA
379,14,3,R,2,WR48,WR,101,17-Oct-11,53.7,14.1,1,95,18,6NA2,1,0,NA,0,16,95,111,NA
860,30,8,R,3,WR45,WR,100,18-Oct-11,35.3,14.2,1,98,9,5NA6,1,0,NA,0,46,205,251,NA
363,13,19,Mix,2,WT11,WT,103,17-Oct-11,36.6,14.2,1,95,10,4NA2,1,0,NA,0,40,36,76,NA
241,9,21,R,1,HTR25,HTR,60,17-Oct-11,38.8,14.2,1,94,9,5,1,0,NA,0,19,68,87,NA
743,26,19,R,3,AC12,AC,7,18-Oct-11,40,14.2,1,97,14,5NA5,1,0,NA,0,21,86,107,NA
742,26,18,R,3,FOR18,FOR,36,18-Oct-11,41,14.2,1,97,10,6NA3,1,0,NA,0,11,159,170,NA
2052,71,12,R,6,KA11,KA,67,19-Oct-11,52.3,14.2,1,102,10,7NA8,1,0,NA,0,73,173,246,NA
