"","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)"
"stand_nod3",0.0320829074178164,1,0.0153125422531309,0.901849119695204,0.000431070276881051,1,0.0153125422531356,0.901849119695189,1.69097155888173,1,0.551999018870545,0.459822949108834,1.31402720054186,1,0.428949689696731,0.514508495121676
"I(stand_nod^2)3",0.740288031095275,1,0.353324953004057,0.554025889557535,0.00994660996212149,1,0.35332495300406,0.554025889557533,1.59953607291041,1,0.522150912744208,0.472172887757803,1.91226872072835,1,0.62423903708762,0.431967408195839
"env3",15.7811833456652,2,3.76602459430951,0.0276343220363506,0.212038110690264,2,3.76602459430952,0.0276343220363503,0.0904022341757695,2,0.0147554062357297,0.985355781005023,2.97831580053852,2,0.486119175437562,0.616932711529189
"stand_nod:env3",0.280711479500326,2,0.0669890408436085,0.935261342316134,0.0037716773488139,2,0.066989040843616,0.935261342316127,0.553966151311784,2,0.0904180707255125,0.91364860495177,2.33523817200651,2,0.381156375163729,0.684386588869353
"I(stand_nod^2):env3",0.0555124377491722,2,0.0132474986998288,0.986842171824553,0.000745872610584453,2,0.0132474986998263,0.986842171824555,0.245597094069325,2,0.0400862315665968,0.960727161444416,0.591982471762151,2,0.0966230750259836,0.908010979775305
"Residuals3",157.140337414856,75,NA,NA,2.11135879539914,75,NA,NA,229.75197886334,75,NA,NA,229.75197886334,75,NA,NA
"(Intercept)4",12.6445889633197,1,3.30085835870823,0.0732387863161576,68.4220686660758,1,3.30085835870822,0.0732387863161578,63.1815740534173,1,13.3978530106696,0.000466209438810997,17.4780696995388,1,3.70628007062121,0.0579999114912189
"stand_nod4",0.0390415528558492,1,0.0101917615871117,0.919856170842317,0.211260628406535,1,0.0101917615871122,0.919856170842316,5.6504811449139,1,1.19820243406901,0.277184223447022,3.36535391768433,1,0.713633963596654,0.400926827039067
"I(stand_nod^2)4",0.478352387146174,1,0.12487345220156,0.724799148315447,2.58844791039428,1,0.12487345220157,0.724799148315437,1.44214403963696,1,0.305811213993079,0.58190666725468,4.19902957381521,1,0.890417528532401,0.348394072985655
"env4",5.94852582541432,2,0.776428607120794,0.463708120402176,32.1885071684899,2,0.776428607120796,0.463708120402176,3.89449954330667,2,0.412920485229034,0.663209958562124,2.83011310899576,2,0.30006722692471,0.741653552549092
"stand_nod:env4",0.584942495036046,2,0.0763493510822853,0.926564393819939,3.165225510862,2,0.0763493510822884,0.926564393819936,9.74193517128629,2,1.03290411342092,0.360979237825733,11.7213964758042,2,1.24277963484919,0.294454656748562
"I(stand_nod^2):env4",2.03209454578831,2,0.265238209269149,0.767739657004746,10.9960167903619,2,0.265238209269153,0.767739657004743,11.205747833894,2,1.18810717050362,0.310468080239289,13.8425103291664,2,1.4676740922286,0.23700329125557
"Residuals4",287.302292068088,75,NA,NA,1554.64263906311,75,NA,NA,353.684881468145,75,NA,NA,353.684881468145,75,NA,NA
"(Intercept)5",21.2509941736162,1,14.2991603728981,0.000311140691793482,0.509651443560914,1,14.2991603728981,0.000311140691793478,58.3010150677235,1,22.9286039332528,8.26170592653934e-06,17.4616043108731,1,6.86729397109317,0.0106217935886772
"stand_nod5",0.413976323035726,1,0.278552324908158,0.59920967184021,0.009928176955464,1,0.278552324908157,0.599209671840211,3.32784865264745,1,1.30877521802541,0.256254704930547,0.697606590847556,1,0.274354489440538,0.601970001961238
"I(stand_nod^2)5",0.0645173264115328,1,0.04341178533353,0.835516625880471,0.00154728518918645,1,0.0434117853335242,0.835516625880482,0.481622790182314,1,0.189412451712732,0.664655954225868,1.3401320201848,1,0.527046677890492,0.470110649257776
"env5",6.5547996970875,2,2.2052646411537,0.117319168776526,0.157200322045207,2,2.2052646411537,0.117319168776525,1.41747638857473,2,0.278732322761568,0.757522879601033,3.97531870864395,2,0.781706013806686,0.461316936282542
"stand_nod:env5",1.53594283135328,2,0.516745068246999,0.598566827620541,0.0368357110651369,2,0.516745068246998,0.598566827620542,2.28105138045686,2,0.448545566429168,0.640257914383082,6.56120740231108,2,1.29019473912045,0.281254217439204
"I(stand_nod^2):env5",1.9046634411386,2,0.640795620636186,0.529732942456923,0.0456785439939158,2,0.640795620636182,0.529732942456925,4.00029079235884,2,0.786616520220867,0.459103363686737,4.8442937454594,2,0.952581121417425,0.390360980991197
"Residuals5",111.462807707372,75,NA,NA,2.67315403633881,75,NA,NA,190.703984542984,75,NA,NA,190.703984542984,75,NA,NA
