"position","block","line","pop","survival","leaf","nod","plant_ID","shoot","root","choice","totalred","env","dataset","diss","flo","fru"
"7","1","DE7","DE",0,3,10,"184-7",3.733,2.1371,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","AC15","AC",0,2,13,"1158-40",6.9396,2.2233,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","DU4","DU",0,3,2,"941-33",6.8244,2.2348,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","WR34","WR",0,2,12,"2313-79",6.6252,2.2421,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","RBE34","RBE",0,3,3,"500-17",3.6415,2.2487,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","FOR26","FOR",0,2,5,"2452-83",6.0812,2.2721,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","WT39","WT",0,4,5,"71-3",5.2741,2.2795,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","KA7","KA",0,4,11,"693-25",8.4678,2.3833,0.181818181818182,2,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","RBE17","RBE",1,8,17,"359-13",8,2.4,0.352941176470588,6,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","WR31","WR",0,3,7,"1028-36",10.3258,2.4353,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","FOR43","FOR",0,3,4,"1161-40",5.2771,2.4455,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","WR40a","WR",0,2,8,"1200-41",5.3663,2.4836,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"28","3","KA24","KA",1,6,43,"807-28",7.9,2.5,0.325581395348837,14,"GH","ESC-greenhouse","Simonsen",NA,NA
"57","5","RBE38","RBE",0,3,14,"1675-57",7.0122,2.5012,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","FOR26","FOR",0,6,34,"2679-92",10.9929,2.5155,0.558823529411765,19,"GH","ESC-greenhouse","Simonsen",NA,NA
"68","6","DU17","DU",0,2,6,"1971-68",4.0628,2.5866,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","F217","F2",1,7,39,"2451-83",7.3,2.8,0.461538461538462,18,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","FOR43","FOR",0,3,12,"1044-36",6.6674,2.8277,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"28","3","DE7","DE",1,7,39,"801-28",9.8,3,0.461538461538462,18,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","FOR15","FOR",1,7,31,"932-33",5.92,3.1,0.354838709677419,11,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","HTR30","HTR",0,2,3,"2431-83",6.4933,3.1055,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"46","4","KA24","KA",1,10,18,"1354-46",12.1,3.2,0.388888888888889,7,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","WR34","WR",0,2,27,"68-3",5.1839,3.2097,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","AC3","AC",0,3,5,"879-31",4.4799,3.2344,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"7","1","DU4","DU",0,3,5,"206-7",10.6827,3.3932,1,5,"GH","ESC-greenhouse","Simonsen",NA,NA
"40","4","HTR30","HTR",1,6,2,"1164-40",4.7,3.4,0.5,1,"GH","ESC-greenhouse","Simonsen",NA,NA
"69","6","FOR43","FOR",1,13,60,"1978-69",16.3,3.44,0.733333333333333,44,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","HTR1","HTR",1,7,63,"884-31",7.06,3.5,0.634920634920635,40,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","KA7","KA",1,7,98,"2357-80",16.4,3.5,0.448979591836735,44,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","DU17","DU",1,8,40,"721-25",11.58,3.6,0.475,19,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","WT39","WT",1,7,89,"2315-79",12.6,3.6,0.617977528089888,55,"GH","ESC-greenhouse","Simonsen",NA,NA
"6","1","F224","F2",1,6,29,"165-6",16,3.6,0.689655172413793,20,"GH","ESC-greenhouse","Simonsen",NA,NA
"69","6","WR34","WR",0,2,3,"1996-69",6.4813,3.6902,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","HTR25","HTR",1,6,120,"2317-79",9.5,3.7,0.625,75,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","RBE17","RBE",0,2,8,"1192-41",7.2914,3.9305,0,0,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","HTR25","HTR",1,9,81,"2661-92",13.4,4.1,0.234567901234568,19,"GH","ESC-greenhouse","Simonsen",NA,NA
"36","3","DE7","DE",1,6,41,"1042-36",7.75,4.2,0.292682926829268,12,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","RBE38","RBE",1,8,96,"2666-92",13.6,4.2,0.46875,45,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","KA24","KA",1,7,92,"2331-80",16,4.2,0.706521739130435,65,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","WR31","WR",1,7,96,"2663-92",16.5,4.2,0.6875,66,"GH","ESC-greenhouse","Simonsen",NA,NA
"93","8","FOR15","FOR",1,7,63,"2711-93",17.6,4.3,0.714285714285714,45,"GH","ESC-greenhouse","Simonsen",NA,NA
"75","6","DE7","DE",1,9,53,"2198-75",9,4.4,0.69811320754717,37,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","HTD2","HTD",1,10,32,"1197-41",18,4.44,0.28125,9,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","KA24","KA",1,12,17,"362-13",6.9,4.6,0.882352941176471,15,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","KA16","KA",1,6,81,"2676-92",14.793,4.6,0.296296296296296,24,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","FOR43","FOR",1,9,116,"365-13",15.9,4.7,0.362068965517241,42,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","AC15","AC",1,8,72,"949-33",13,4.9,0.527777777777778,38,"GH","ESC-greenhouse","Simonsen",NA,NA
"68","6","WT18","WT",1,8,100,"1965-68",22,4.9,0.52,52,"GH","ESC-greenhouse","Simonsen",NA,NA
"62","5","KA24","KA",1,13,31,"1824-62",16,5,0.645161290322581,20,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","DU17","DU",0,NA,18,"368-13",9.5028,5.335,0.555555555555556,10,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","AC15","AC",1,9,120,"700-25",23,5.5,0.408333333333333,49,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","FOR26","FOR",1,7,53,"364-13",17.2,5.8,0.716981132075472,38,"GH","ESC-greenhouse","Simonsen",NA,NA
"46","4","FOR15","FOR",1,8,89,"1336-46",24,5.8,0.606741573033708,54,"GH","ESC-greenhouse","Simonsen",NA,NA
"35","3","KA7","KA",1,8,99,"1015-35",22.33,6,0.292929292929293,29,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","F219","F2",1,8,133,"2074-72",13.7,6.1,0.56390977443609,75,"GH","ESC-greenhouse","Simonsen",NA,NA
"93","8","FOR43","FOR",1,11,158,"2694-93",23.4,6.5,0.569620253164557,90,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","F219","F2",1,8,176,"2658-92",15.5,6.7,0.363636363636364,64,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","RBE34","RBE",1,11,68,"928-33",16,6.91,0.632352941176471,43,"GH","ESC-greenhouse","Simonsen",NA,NA
"98","8","HTD28","HTD",1,9,30,"2838-98",21.1,7,1,30,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","HTR1","HTR",1,9,130,"430-15",16.5,7.3,0.7,91,"GH","ESC-greenhouse","Simonsen",NA,NA
"39","4","WT30","WT",1,9,116,"1133-39",17.7,7.3,0.28448275862069,33,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","WR31","WR",1,9,139,"481-17",22.5,7.4,0.589928057553957,82,"GH","ESC-greenhouse","Simonsen",NA,NA
"68","6","DE15","DE",1,9,31,"1974-68",22,7.6,0.870967741935484,27,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","RBE17","RBE",1,9,49,"2307-79",15.3,7.8,0.673469387755102,33,"GH","ESC-greenhouse","Simonsen",NA,NA
"80","7","HTR1","HTR",1,10,199,"2355-80",19.4,7.8,0.447236180904523,89,"GH","ESC-greenhouse","Simonsen",NA,NA
"13","2","KA16","KA",1,8,80,"373-13",24.1,7.9,0.5,40,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","AC3","AC",1,9,108,"66-3",25,7.9,0.611111111111111,66,"GH","ESC-greenhouse","Simonsen",NA,NA
"6","1","DU17","DU",1,7,60,"163-6",18,8,0.433333333333333,26,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","FOR43","FOR",1,15,132,"888-31",26,8,0.712121212121212,94,"GH","ESC-greenhouse","Simonsen",NA,NA
"24","3","RBE34","RBE",1,11,120,"679-24",23.7,8.1,0.433333333333333,52,"GH","ESC-greenhouse","Simonsen",NA,NA
"98","8","WR40a","WR",1,10,76,"2857-98",23.8,8.4,0.815789473684211,62,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","AC3","AC",1,10,100,"701-25",29,8.5,0.48,48,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","RBE17","RBE",0,6,75,"930-33",18.6655,8.817,0.293333333333333,22,"GH","ESC-greenhouse","Simonsen",NA,NA
"7","1","RBE17","RBE",1,8,134,"193-7",26.1,9.1,0.649253731343284,87,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","WT39","WT",1,9,137,"2079-72",26.7,9.1,0.45985401459854,63,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","AC15","AC",1,9,59,"499-17",31,9.3,0.576271186440678,34,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","FOR15","FOR",1,7,135,"93-3",26,9.4,0.42962962962963,58,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","FOR26","FOR",1,10,93,"2093-72",20.2,9.6,0.731182795698925,68,"GH","ESC-greenhouse","Simonsen",NA,NA
"22","2","AC3","AC",1,2,235,"625-22",27.7,9.6,0.365957446808511,86,"GH","ESC-greenhouse","Simonsen",NA,NA
"6","1","AC15","AC",1,9,123,"162-6",38,9.6,0.504065040650407,62,"GH","ESC-greenhouse","Simonsen",NA,NA
"61","5","F219","F2",1,11,149,"1801-61",23,9.7,0.697986577181208,104,"GH","ESC-greenhouse","Simonsen",NA,NA
"79","7","FOR15","FOR",1,10,200,"2300-79",27.9,9.7,0.625,125,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","RBE38","RBE",1,11,136,"952-33",28,9.8,0.669117647058824,91,"GH","ESC-greenhouse","Simonsen",NA,NA
"52","4","FOR26","FOR",1,11,130,"1519-52",37,10.2,0.769230769230769,100,"GH","ESC-greenhouse","Simonsen",NA,NA
"7","1","HTR1","HTR",1,9,189,"180-7",25.1,10.4,0.439153439153439,83,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","F224","F2",1,10,75,"412-15",33.2,10.4,0.64,48,"GH","ESC-greenhouse","Simonsen",NA,NA
