"","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)","Sum Sq","Df","F value","Pr(>F)"
"env3",16.7565830889588,2,4.13611037563229,0.0196210111469961,0.225143713369455,2,4.13611037563229,0.019621011146996,0,2,0,1,1.80453746934472,2,0.303426811066413,0.739151375269613
"stand_nod:env3",0.985001610744916,2,0.243132824907546,0.784759408828322,0.0132346146670042,2,0.24313282490755,0.784759408828319,2.8344011013593,2,0.476594862716197,0.622690118216338,2.57629237278658,2,0.433194761720973,0.649984630219208
"Residuals3",158.000314575621,78,NA,NA,2.1229135646716,78,NA,NA,231.940483627995,78,NA,NA,231.940483627995,78,NA,NA
"(Intercept)4",19.5550903101445,1,5.25864121595077,0.0245320033986227,105.815992584131,1,5.25864121595078,0.0245320033986226,84.0000000000001,1,17.7683177409846,6.65366084940778e-05,33.25702992471,1,7.03477946218665,0.00968088910263375
"stand_nod4",0.00878452348712244,1,0.00236228299328823,0.961359659827629,0.0475345834474865,1,0.00236228299329389,0.961359659827583,2.80386407680851,1,0.593094616896023,0.44355118874532,2.69459395068145,1,0.56998097022194,0.452540078769274
"env4",10.7827141574846,2,1.44981240661797,0.240866117614272,58.3471404748916,2,1.44981240661797,0.240866117614272,0,2,0,1,2.78037303127712,2,0.294062806298788,0.746052190800266
"stand_nod:env4",3.02952367767648,2,0.407340948659894,0.666824503281794,16.3932791884965,2,0.407340948659894,0.666824503281794,3.79117565509557,2,0.400969128878711,0.671043097704965,3.72550662436629,2,0.394023722904066,0.675672637779667
"Residuals4",290.055354901312,78,NA,NA,1569.53994056997,78,NA,NA,368.746219845399,78,NA,NA,368.746219845399,78,NA,NA
"(Intercept)5",30.194556110953,1,20.7477695149516,1.90514120591991e-05,0.724140197108226,1,20.7477695149516,1.90514120591991e-05,83.9999999999999,1,33.4266909180187,1.45607617763506e-07,27.9670933826879,1,11.1291355521247,0.0013033971049078
"stand_nod5",2.96864736460202,1,2.03986477117273,0.157215287557438,0.0711955121926073,1,2.03986477117273,0.157215287557438,2.9959479378563,1,1.19219792529998,0.278247816051543,2.18795738349533,1,0.870668752379707,0.353649723761556
"env5",9.12161848997751,2,3.13389667557861,0.0490779330303813,0.218758990428817,2,3.1338966755786,0.0490779330303815,0,2,0,1,2.10423570641515,2,0.418676408196417,0.659386740743215
"stand_nod:env5",2.12945701328134,2,0.73161339317606,0.484404130318089,0.051069650292745,2,0.731613393176057,0.484404130318091,4.38501039443048,2,0.872478494803137,0.421952541698886,3.58848670602367,2,0.713995452295669,0.492855929830227
"Residuals5",113.514629847662,78,NA,NA,2.72236181020509,78,NA,NA,196.011026519772,78,NA,NA,196.011026519772,78,NA,NA
